Pressure,Model,PCC,MAE (g/kg),R²
50 bar,Linear Regression,0.9809122073538825,72.62618149980523,0.9620112652335594
50 bar,Random Forest,0.9983660514876221,18.031098312770364,0.9967247465379
1 bar,Random Forest,0.8841448131475853,15.144062686603416,0.7793356769580769
